reqYymm,year,cstmSgn,portCd,statKor,expCnt,expDlr,impCnt,impDlr,balPayments
202412,202412,016,KRINC,인천항,1129,133234020,531,34815214,98418806
202412,202412,017,KRINC,인천항,1449,169302403,205,12446758,156855645
202412,202412,020,KRINC,인천항,58405,1627849660,611741,6812102879,-5184253219
202412,202412,021,KRINC,인천항,1983,116959726,419,26929942,90029784
202412,202412,023,KRINC,인천항,2315,513184927,73,6097065,507087862
202412,202412,030,KRINC,인천항,284,11887885,45,7117638,4770247
202412,202412,033,KRINC,인천항,49,1141703,16,582648,559055
202412,202412,039,KRINC,인천항,216,1024977,6,580422,444555
202412,202412,040,KRINC,인천항,694,61018217,500,36975443,24042774
202412,202412,041,KRINC,인천항,29,1839056,392,54698615,-52859559
202412,202412,050,KRINC,인천항,24,1198393,7,143910,1054483
202412,202412,053,KRINC,인천항,210,6488269,34,693464,5794805
202412,202412,054,KRINC,인천항,1,182091,0,0,182091
202412,202412,056,KRINC,인천항,19,948699,0,0,948699
202412,202412,060,KRINC,인천항,51,2916845,0,0,2916845
202412,202412,062,KRINC,인천항,56,2469020,0,0,2469020
202412,202412,070,KRINC,인천항,18,3361602,1,52137,3309465
202412,202412,071,KRINC,인천항,88,3462718,27,719110,2743608
202412,202412,080,KRINC,인천항,31,4575323,3,110354,4464969
202412,202412,081,KRINC,인천항,49,1538889,42,1310867,228022
202412,202412,082,KRINC,인천항,91,4263974,50,567951,3696023
202412,202412,084,KRINC,인천항,17,1429530,0,0,1429530
202412,202412,090,KRINC,인천항,3,8651,0,0,8651
202412,202412,100,KRINC,인천항,17,1326528,4,237866,1088662
202412,202412,101,KRINC,인천항,1,14634,3,89557,-74923
202412,202412,102,KRINC,인천항,128,6789912,19,208358,6581554
202412,202412,110,KRINC,인천항,96,16901941,28,840343,16061598
202412,202412,120,KRINC,인천항,447,43235482,29,1930482,41305000
202412,202412,121,KRINC,인천항,314,55671906,59,3317855,52354051
202412,202412,122,KRINC,인천항,82,16172904,0,0,16172904
202412,202412,130,KRINC,인천항,645,18949037,104,1962506,16986531
202412,202412,131,KRINC,인천항,454,17177143,118,9158211,8018932
202412,202412,150,KRINC,인천항,283,19263637,24,808473,18455164
202412,202412,151,KRINC,인천항,447,41124417,135,15877435,25246982
202412,202412,152,KRINC,인천항,1250,261331398,309,11967462,249363936
202412,202412,153,KRINC,인천항,169,9983781,10,311719,9672062
202412,202412,154,KRINC,인천항,1176,110608019,0,0,110608019
202412,202412,010,KRKAN,광양항,8,240569,0,0,240569
202412,202412,011,KRKAN,광양항,3,161651,0,0,161651
202412,202412,012,KRKAN,광양항,18,521507,2,101886,419621
202412,202412,014,KRKAN,광양항,38,3382589,0,0,3382589
202412,202412,016,KRKAN,광양항,49,4004759,0,0,4004759
202412,202412,017,KRKAN,광양항,3,59580,0,0,59580
202412,202412,020,KRKAN,광양항,193,3299830,0,0,3299830
202412,202412,021,KRKAN,광양항,28,4813505,0,0,4813505
202412,202412,023,KRKAN,광양항,9,528582,0,0,528582
202412,202412,030,KRKAN,광양항,24,1879055,11,44283,1834772
202412,202412,033,KRKAN,광양항,28,950683,0,0,950683
202412,202412,039,KRKAN,광양항,46,1226360,1,100,1226260
202412,202412,040,KRKAN,광양항,1,238499,0,0,238499
202412,202412,041,KRKAN,광양항,3,694522,0,0,694522
202412,202412,050,KRKAN,광양항,3,44666936,1,76449,44590487
202412,202412,052,KRKAN,광양항,0,0,6,278576,-278576
202412,202412,053,KRKAN,광양항,68,3562989,0,0,3562989
202412,202412,056,KRKAN,광양항,25,1732793,0,0,1732793
202412,202412,060,KRKAN,광양항,4555,408764933,11,677487,408087446
202412,202412,062,KRKAN,광양항,7468,1214976311,6553,1348453672,-133477361
202412,202412,070,KRKAN,광양항,128,6882713,7,1221049,5661664
202412,202412,071,KRKAN,광양항,1235,55103093,15,955825,54147268
202412,202412,080,KRKAN,광양항,386,42632938,33,5023048,37609890
202412,202412,081,KRKAN,광양항,224,13965242,19,27641713,-13676471
202412,202412,082,KRKAN,광양항,314,29060664,40,2362057,26698607
202412,202412,084,KRKAN,광양항,18,1667658,0,0,1667658
